  -2.0  0.380 0.922 -6030.19  29153.4 -25882.7  -64112.9  126115. -59817.9  \ldots
  -3.0  0.367 0.504 -3255.07  16259.9 -20315.3  \ldots  \ldots  \ldots  \ldots
(V - J_{2}) +0.0  0.815 2.608 422.406 -910.603  621.335 -132.566  \ldots  \ldots  \ldots
  -1.0  0.860 2.087 -466.616  658.349 -220.454  \ldots  \ldots  \ldots  \ldots
  -2.0  0.927 1.983 -862.072  1236.84 -423.729  \ldots  \ldots  \ldots  \ldots
  -3.0  0.891 1.932 -1046.10  1652.06 -597.340  \ldots  \ldots  \ldots  \ldots
(V - H_{2}) +0.0  0.839 3.215 -53.5574  36.0990 15.6878 -8.84468  \ldots  \ldots  \ldots
  -1.0  1.032 2.532 1.60629 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  1.070 2.535 506.559 -1277.52  939.519 -208.621  \ldots  \ldots  \ldots
  -3.0  1.093 2.388 -471.588  643.972 -199.639  \ldots  \ldots  \ldots  \ldots
(V - K_{2}) +0.0  0.896 3.360 -1425.36  3218.36 -2566.54  859.644 -102.554  \ldots  \ldots
  -1.0  1.060 2.665 2.35133 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  1.101 2.670 -1849.46  4577.00 -4284.02  1770.38 -268.589  \ldots  \ldots
  -3.0  1.126 2.596 215.721 -796.519  714.423 -175.678  \ldots  \ldots  \ldots
(V_{T} - K_{2}) +0.0  0.942 3.284 -1581.85  3273.10 -2395.38  736.352 -80.8177  \ldots  \ldots
  -1.0  1.078 2.561 68.1279 -130.968  52.8391 \ldots  \ldots  \ldots  \ldots
  -2.0  1.237 2.406 -2384.82  4196.14 -2557.04  595.365 -31.9955  \ldots  \ldots
  -3.0  1.170 1.668 -628.682  423.682 \ldots  \ldots  \ldots  \ldots  \ldots

Table 5:
(B - V) +0.0  0.144 1.668 112.116 -372.622  67.1254 395.333 -203.471  \ldots  \ldots
  -1.0  0.664 1.558 -12.9762  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.605 1.352 606.032 -1248.79  627.453 \ldots  \ldots  \ldots  \ldots
  -3.0  0.680 1.110 -9.26209  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
(b - y) +0.0  0.053 1.077 -124.159  553.827 -490.703  \ldots  \ldots  \ldots  \ldots
  -1.0  0.309 0.893 888.088 -2879.23  2097.89 \ldots  \ldots  \ldots  \ldots
  -2.0  0.388 0.702 1867.63 -6657.49  5784.81 \ldots  \ldots  \ldots  \ldots
  -3.0  0.404 0.683 348.237 -659.093  \ldots  \ldots  \ldots  \ldots  \ldots
(Y - V) +0.0  0.230 1.290 -308.851  1241.57 -1524.60  593.157 \ldots  \ldots  \ldots
  -1.0  0.558 0.940 -36.6533  383.901 -458.085  \ldots  \ldots  \ldots  \ldots
  -2.0  0.544 0.817 3038.83 -8668.15  6067.04 \ldots  \ldots  \ldots  \ldots
  -3.0  0.510 0.830 2685.88 -7433.07  4991.81 \ldots  \ldots  \ldots  \ldots
(V - S) +0.0  0.261 1.230 -1605.54  9118.16 -17672.6  14184.1 -4023.76  \ldots  \ldots
  -1.0  0.508 0.992 187.841 -270.092  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.529 0.990 10.1750 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.573 0.790 -14.2019  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
(B_{2} - V_{1}) +0.0  -0.079  1.321 -15.0383  50.8876 -32.3978  \ldots  \ldots  \ldots  \ldots
  -1.0  0.385 1.021 80.1344 -147.055  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.307 0.958 323.889 -1031.06  795.024 \ldots  \ldots  \ldots  \ldots
  -3.0  0.407 0.648 1403.86 -4866.09  4029.75 \ldots  \ldots  \ldots  \ldots
(B_{2} - G) +0.0  -0.543  1.230 -0.52642  10.4471 -7.53155  \ldots  \ldots  \ldots  \ldots
  -1.0  0.155 0.966 26.1904 -89.2171  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.132 0.991 9.87980 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.104 0.437 232.248 -1452.43  1848.07 \ldots  \ldots  \ldots  \ldots
t +0.0  0.072 0.970 -46.1506  -60.1641  643.522 -599.555  \ldots  \ldots  \ldots
  -1.0  0.064 0.766 27.8739 -84.1166  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.166 0.619 67.1191 -139.127  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.215 0.511 122.254 -394.604  \ldots  \ldots  \ldots  \ldots  \ldots
(V - R_{C}) +0.0  0.299 1.106 -8.51797  15.6675 \ldots  \ldots  \ldots  \ldots  \ldots
  -1.0  0.387 0.752 -10.7764  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.429 0.598 61.9821 -78.7382  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.394 0.550 27.9886 -100.149  \ldots  \ldots  \ldots  \ldots  \ldots
(V - I_{C}) +0.0  0.573 2.000 0.42933 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -1.0  0.795 1.524 -0.14180  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.870 1.303 9.31011 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.812 1.095 -23.0514  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
(R_{C} - I_{C}) +0.0  0.413 0.793 61.3557 -116.711  \ldots  \ldots  \ldots  \ldots  \ldots
  -1.0  0.383 0.771 -16.8645  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.434 0.725 32.0870 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.364 0.545 -15.6318  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
C(42-45)  +0.0  0.409 1.369 -68.3798  109.259 -34.4503  \ldots  \ldots  \ldots  \ldots
  -1.0  0.430 1.270 -0.62507  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  0.441 0.894 -40.0150  35.6803 \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.490 0.640 -314.177  636.443 \ldots  \ldots  \ldots  \ldots  \ldots
C(42-48)  +0.0  1.531 2.767 1006.40 -549.012  -649.212  534.912 -100.038  \ldots  \ldots
  -1.0  1.400 2.647 -6.92065  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  1.466 2.260 -113.222  57.3030 \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  1.571 1.799 566.914 -329.631  \ldots  \ldots  \ldots  \ldots  \ldots
(B_{T} - V_{T}) +0.0  0.123 1.953 346.881 -1690.16  2035.65 -797.248  70.7799 \ldots  \ldots
  -1.0  0.424 1.644 196.416 -372.164  126.196 \ldots  \ldots  \ldots  \ldots
  -2.0  0.534 1.356 938.789 -1919.98  929.779 \ldots  \ldots  \ldots  \ldots
  -3.0  0.465 1.026 1112.46 -2717.81  1577.18 \ldots  \ldots  \ldots  \ldots
(V - J_{2}) +0.0  1.259 2.400 -122.595  76.4847 \ldots  \ldots  \ldots  \ldots  \ldots
  -1.0  1.030 3.418 -10.3848  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -2.0  1.033 2.679 4.18695 13.8937 \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  0.977 2.048 -67.7716  28.9202 \ldots  \ldots  \ldots  \ldots  \ldots
(V - H_{2}) +0.0  1.194 3.059 -377.022  334.733 -69.8093  \ldots  \ldots  \ldots  \ldots
  -1.0  1.293 4.263 71.7949 -55.5383  9.61821 \ldots  \ldots  \ldots  \ldots
  -2.0  1.273 3.416 -27.4190  20.7082 \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  1.232 2.625 -46.2946  20.1061 \ldots  \ldots  \ldots  \ldots  \ldots
(V - K_{2}) +0.0  1.244 3.286 -72.6664  36.5361 \ldots  \ldots  \ldots  \ldots  \ldots
  -1.0  1.366 4.474 86.0358 -65.4928  10.8901 \ldots  \ldots  \ldots  \ldots
  -2.0  1.334 3.549 -6.96153  14.3298 \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  1.258 2.768 -943.925  1497.64 -795.867  138.965 \ldots  \ldots  \ldots
(V_{T} - K_{2}) +0.0  1.107 3.944 -37.2128  31.2900 -6.72743  \ldots  \ldots  \ldots  \ldots
  -1.0  1.403 3.157 -193.512  166.183 -33.2781  \ldots  \ldots  \ldots  \ldots
  -2.0  1.339 3.750 -2.02136  \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
  -3.0  1.668 2.722 8.06982 \ldots  \ldots  \ldots  \ldots  \ldots  \ldots
