# From: http://physics.nist.gov/PhysRefData/ASD/ionEnergy.html
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#At. num | Sp. Name      | Ion Charge | El. Name      | Isoel. Seq. | Ground Shells (a)  | Ground Level | Ionized Level                      |      Ionization Energy (b) (eV)       | References
#--------|---------------|------------|---------------|-------------|--------------------|--------------|------------------------------------|---------------------------------------|--------------------
     21 | Sc I          |          0 | Scandium      | Sc          | [Ar].3d.4s2        | 2D<3/2>      | 3d.4s 3D<1>                        |             6.561490(60)              |        L7185,L2110
     22 | Ti I          |          0 | Titanium      | Ti          | [Ar].3d2.4s2       | 3F<2>        | 3d2.4s 4F<3/2>                     |             6.828120(12)              |             L17996
     23 | V I           |          0 | Vanadium      | V           | [Ar].3d3.4s2       | 4F<3/2>      | 3d4 5D<0>                          |             6.746187(21)              |             L17712
     24 | Cr I          |          0 | Chromium      | Cr          | [Ar].3d5.4s        | 7S<3>        | 3d5 6S<5/2>                        |             6.766510(40)              |        L7185,L2832
     25 | Mn I          |          0 | Manganese     | Mn          | [Ar].3d5.4s2       | 6S<5/2>      | 3d5.4s 7S<3>                       |             7.434018(12)              |        L4406,L7185
     26 | Fe I          |          0 | Iron          | Fe          | [Ar].3d6.4s2       | 5D<4>        | 3d6.4s 6D<9/2>                     |             7.9024678(12)             |          L7743c109
     27 | Co I          |          0 | Cobalt        | Co          | [Ar].3d7.4s2       | 4F<9/2>      | 3d8 3F<4>                          |             7.88101(12)               |             L10545
     28 | Ni I          |          0 | Nickel        | Ni          | [Ar].3d8.4s2       | 3F<4>        | 3d9 2D<5/2>                        |             7.639877(17)              |             L12369
     29 | Cu I          |          0 | Copper        | Cu          | [Ar].3d10.4s       | 2S<1/2>      | 3d10 1S<0>                         |             7.7263800(40)             |             L14897
     30 | Zn I          |          0 | Zinc          | Zn          | [Ar].3d10.4s2      | 1S0          | 4s 2S<1/2>                         |             9.3941990(22)             |              L9360
     31 | Ga I          |          0 | Gallium       | Ga          | [Ar].3d10.4s2.4p   | 2P*<1/2>     | 4s2 1S<0>                          |             5.9993018(12)             |              L5566
     32 | Ge I          |          0 | Germanium     | Ge          | [Ar].3d10.4s2.4p2  | 3P0          | 4p 2P*<1/2>                        |             7.899435(12)              |       L3935,L12369
     33 | As I          |          0 | Arsenic       | As          | [Ar].3d10.4s2.4p3  | 4S*<3/2>     | 4p2 3P<0>                          |             9.78900(25)               |              L1351
     34 | Se I          |          0 | Selenium      | Se          | [Ar].3d10.4s2.4p4  | 3P<2>        | 4p3 4S*<3/2>                       |             9.752392(15)              |  L2647,L4168,L5688
     35 | Br I          |          0 | Bromine       | Br          | [Ar].3d10.4s2.4p5  | 2P*<3/2>     | 4p4 3P<2>                          |            11.813810(60)              |           L351,L67
     36 | Kr I          |          0 | Krypton       | Kr          | [Ar].3d10.4s2.4p6  | 1S0          | 4p5 2P*<3/2>                       |            13.9996049(20)             |             L12196
     37 | Rb I          |          0 | Rubidium      | Rb          | [Kr].5s            | 2S<1/2>      | 4p6 1S<0>                          |             4.1771280(12)             |        L4740,L5783
     38 | Sr I          |          0 | Strontium     | Sr          | [Kr].5s2           | 1S0          | 5s 2S<1/2>                         |             5.69486720(12)            |       L15350,L5644
     39 | Y I           |          0 | Yttrium       | Y           | [Kr].4d.5s2        | 2D<3/2>      | 5s2 1S<0>                          |             6.21726(10)               |  L8844,L2111,L9735
     40 | Zr I          |          0 | Zirconium     | Zr          | [Kr].4d2.5s2       | 3F<2>        | 4d2.5s 4F<3/2>                     |             6.633900(40)              |              L6756
     41 | Nb I          |          0 | Niobium       | Nb          | [Kr].4d4.5s        | 6D<1/2>      | 4d4 5D<0>                          |             6.758850(40)              |              L6829
     42 | Mo I          |          0 | Molybdenum    | Mo          | [Kr].4d5.5s        | 7S<3>        | 4d5 6S<5/2>                        |             7.092430(40)              |              L6829
     43 | Tc I          |          0 | Technetium    | Tc          | [Kr].4d5.5s2       | 6S<5/2>      | 4d5.5s 7S<3>                       |             7.119381(30)              |             L15237
     44 | Ru I          |          0 | Ruthenium     | Ru          | [Kr].4d7.5s        | 5F<5>        | 4d7 4F<9/2>                        |             7.360500(40)              |             L10032
     45 | Rh I          |          0 | Rhodium       | Rh          | [Kr].4d8.5s        | 4F<9/2>      | 4d8 3F<4>                          |             7.458900(50)              |             L10032
     46 | Pd I          |          0 | Palladium     | Pd          | [Kr].4d10          | 1S0          | 4d9 2D<5/2>                        |             8.33686(10)               |             L10943
     47 | Ag I          |          0 | Silver        | Ag          | [Kr].4d10.5s       | 2S<1/2>      | 4d10 1S<0>                         |             7.576234(25)              |             L11835
     48 | Cd I          |          0 | Cadmium       | Cd          | [Kr].4d10.5s2      | 1S0          | 5s 2S<1/2>                         |             8.993822(22)              |              L3641
     49 | In I          |          0 | Indium        | In          | [Cd].5p            | 2P*<1/2>     | 5s2 1S<0>                          |             5.78635520(50)            |             L14506
     50 | Sn I          |          0 | Tin           | Sn          | [Cd].5p2           | 3P0          | 5s2.5p 2P*<1/2>                    |             7.343917(12)              |              L3936
     51 | Sb I          |          0 | Antimony      | Sb          | [Cd].5p3           | 4S*<3/2>     | 5s2.5p2 3P<0>                      |             8.608389(12)              |        L8844,L6684
     52 | Te I          |          0 | Tellurium     | Te          | [Cd].5p4           | 3P<2>        | 5s2.5p3 4S*<3/2>                   |             9.00966(10)               |          L5789c102
     53 | I I           |          0 | Iodine        | I           | [Cd].5p5           | 2P*<3/2>     | 5s2.5p4 3P<2>                      |            10.451260(25)              |             L13998
     54 | Xe I          |          0 | Xenon         | Xe          | [Cd].5p6           | 1S0          | 5s2.5p5 2P*<3/2>                   |            12.1298431(15)             | L12013,L9794,L6426
     55 | Cs I          |          0 | Cesium        | Cs          | [Xe].6s            | 2S<1/2>      | 5s2.5p6 1S<0>                      |             3.893905548(19)           |              L7057
     56 | Ba I          |          0 | Barium        | Ba          | [Xe].6s2           | 1S0          | 5s2.5p6.6s 2S<1/2>                 |             5.2116640(12)             |        L6347,L9224
     57 | La I          |          0 | Lanthanum     | La          | [Xe].5d.6s2        | 2D<3/2>      | 5s2.5p6.5d2 3F<2>                  |             5.57690(60)               |       L3974,L16228
     58 | Ce I          |          0 | Cerium        | Ce          | [Xe].4f.5d.6s2     | 1G*<4>       | 4f.5s2.5p6.5d2 4H*<7/2>            |             5.53860(40)               |              L4277
     59 | Pr I          |          0 | Praseodymium  | Pr          | [Xe].4f3.6s2       | 4I*<9/2>     | 4f3.(4I*).6s (9/2,1/2)*<4>         |            [5.473(10)]                |              L4277
     60 | Nd I          |          0 | Neodymium     | Nd          | [Xe].4f4.6s2       | 5I<4>        | 4f4.5s2.5p6.6s 6I*<7/2>            |             5.52500(60)               |              L4277
     61 | Pm I          |          0 | Promethium    | Pm          | [Xe].4f5.6s2       | 6H*<5/2>     | 4f5.5s2.5p6.6s 7H*<2>              |            [5.582(10)]                |              L4277
     62 | Sm I          |          0 | Samarium      | Sm          | [Xe].4f6.6s2       | 7F0          | 4f6.5s2.5p6.6s 8F<1/2>             |             5.64371(17)               |              L9734
     63 | Eu I          |          0 | Europium      | Eu          | [Xe].4f7.6s2       | 8S*<7/2>     | 4f7.5p6.6s 9S*<4>                  |             5.6703850(50)             |             L13382
     64 | Gd I          |          0 | Gadolinium    | Gd          | [Xe].4f7.5d.6s2    | 9D*<2>       | 4f7.5d.6s 10D*<5/2>                |             6.149796(40)              |             L11798
     65 | Tb I          |          0 | Terbium       | Tb          | [Xe].4f9.6s2       | 6H*<15/2>    | 4f9.(6H*).5p6.6s (15/2,1/2)*<8>    |             5.86380(60)               |              L4277
     66 | Dy I          |          0 | Dysprosium    | Dy          | [Xe].4f10.6s2      | 5I<8>        | 4f10.(5I<8>).6s<1/2> (8,1/2)<17/2> |             5.939050(70)              |             L14730
     67 | Ho I          |          0 | Holmium       | Ho          | [Xe].4f11.6s2      | 4I*<15/2>    | 4f11.(4I*).5p6.6s (15/2,1/2)*<8>   |             6.02150(60)               |              L4277
     68 | Er I          |          0 | Erbium        | Er          | [Xe].4f12.6s2      | 3H<6>        | 4f12.(3H).5p6.6s (6,1/2)<13/2>     |             6.1077(10)                |              L4277
     69 | Tm I          |          0 | Thulium       | Tm          | [Xe].4f13.6s2      | 2F*<7/2>     | 4f13.6s (7/2,1/2)*<4>              |             6.184310(60)              |         L3974,L946
     70 | Yb I          |          0 | Ytterbium     | Yb          | [Xe].4f14.6s2      | 1S0          | 6s 2S<1/2>                         |             6.254160(12)              |              L4980
     71 | Lu I          |          0 | Lutetium      | Lu          | [Xe].4f14.5d.6s2   | 2D<3/2>      | 6s2 1S<0>                          |             5.425871(12)              |       L10494,L1638
     72 | Hf I          |          0 | Hafnium       | Hf          | [Xe].4f14.5d2.6s2  | 3F<2>        | 5d.6s2 2D<3/2>                     |             6.825070(12)              |      L14027,L10033
     73 | Ta I          |          0 | Tantalum      | Ta          | [Xe].4f14.5d3.6s2  | 4F<3/2>      | 5d3.6s 5F<1>                       |             7.549570(25)              |             L13153
     74 | W I           |          0 | Tungsten      | W           | [Xe].4f14.5d4.6s2  | 5D0          | 5d4.6s 6D<1/2>                     |             7.86403(10)               |             L11604
     75 | Re I          |          0 | Rhenium       | Re          | [Xe].4f14.5d5.6s2  | 6S<5/2>      | 5d5.6s 7S<3>                       |             7.83352(11)               |             L11604
     76 | Os I          |          0 | Osmium        | Os          | [Xe].4f14.5d6.6s2  | 5D<4>        | 5d6.6s 6D<9/2>                     |             8.43823(20)               |              L8105
     77 | Ir I          |          0 | Iridium       | Ir          | [Xe].4f14.5d7.6s2  | 4F<9/2>      | 5d7.6s 5F<5>                       |             8.96702(22)               |              L8105
     78 | Pt I          |          0 | Platinum      | Pt          | [Xe].4f14.5d9.6s   | 3D<3>        | 5d9 2D<5/2>                        |             8.95883(10)               |       L9735,L11689
     79 | Au I          |          0 | Gold          | Au          | [Xe].4f14.5d10.6s  | 2S<1/2>      | 5d10 1S<0>                         |             9.2255530(40)             |             L12088
     80 | Hg I          |          0 | Mercury       | Hg          | [Xe].4f14.5d10.6s2 | 1S0          | 6s 2S<1/2>                         |            10.4375040(60)             |      L11931,L11984
     81 | Tl I          |          0 | Thallium      | Tl          | [Hg].6p            | 2P*<1/2>     | 6s2 1S<0>                          |             6.1082870(12)             |             L16353
     82 | Pb I          |          0 | Lead          | Pb          | [Hg].6p2           | 3P0          | 6p 2P*<1/2>                        |             7.41667960(60)            |             L11569
     83 | Bi I          |          0 | Bismuth       | Bi          | [Hg].6p3           | 4S*<3/2>     | 6p2 3P<0>                          |             7.2855160(60)             |       L10664,L6247
     84 | Po I          |          0 | Polonium      | Po          | [Hg].6p4           | 3P<2>        | 6p3 4S*<3/2>                       |             8.4140(40)                |        L8844,L3488
     85 | At I          |          0 | Astatine      | At          | [Hg].6p5           | 2P*<3/2>     | 6p4 3P<2>                          |             9.317510(90)              |             L18394
     86 | Rn I          |          0 | Radon         | Rn          | [Hg].6p6           | 1S0          | 6p5 2P*<3/2>                       |            10.74850                   |         L272,L7432
     87 | Fr I          |          0 | Francium      | Fr          | [Rn].7s            | 2S<1/2>      | 6p6 1S<0>                          |             4.0727409(11)             |             L10714
     88 | Ra I          |          0 | Radium        | Ra          | [Rn].7s2           | 1S0          | 6p6.7s 2S<1/2>                     |             5.2784240(25)             |              L4979
     89 | Ac I          |          0 | Actinium      | Ac          | [Rn].6d.7s2        | 2D<3/2>      | 6p6.7s2 1S<0>                      |             5.380226(24)              |             L17893
     90 | Th I          |          0 | Thorium       | Th          | [Rn].6d2.7s2       | 3F<2>        | 6d2.7s 4F<3/2>                     |             6.30670(25)               |             L15992
     91 | Pa I          |          0 | Protactinium  | Pa          | [Rn].5f2.6d.7s2    | 4K<11/2>     | 5f2.7s2 3H<4>                      |            [5.89(12)]                 |             L16359
     92 | U I           |          0 | Uranium       | U           | [Rn].5f3.6d.7s2    | 5L*<6>       | 5f3.7s2 4I*<9/2>                   |             6.194050(60)              |        L5494,L7765
     93 | Np I          |          0 | Neptunium     | Np          | [Rn].5f4.6d.7s2    | 6L<11/2>     | 5f4.6d.7s 7L<5>                    |             6.26550(25)               |             L15992
     94 | Pu I          |          0 | Plutonium     | Pu          | [Rn].5f6.7s2       | 7F0          | 5f6.7s 8F<1/2>                     |             6.02580(25)               |      L15992,L11260
     95 | Am I          |          0 | Americium     | Am          | [Rn].5f7.7s2       | 8S*<7/2>     | 5f7.7s 9S*<4>                      |             5.97380(25)               |             L15992
     96 | Cm I          |          0 | Curium        | Cm          | [Rn].5f7.6d.7s2    | 9D*<2>       | 5f7.7s2 8S*<7/2>                   |             5.99140(25)               |             L15992
     97 | Bk I          |          0 | Berkelium     | Bk          | [Rn].5f9.7s2       | 6H*<15/2>    | 5f9.7s 7H*<8>                      |             6.19780(25)               |             L15992
     98 | Cf I          |          0 | Californium   | Cf          | [Rn].5f10.7s2      | 5I<8>        | 5f10.7s 6I<17/2>                   |             6.28170(25)               |             L15992
     99 | Es I          |          0 | Einsteinium   | Es          | [Rn].5f11.7s2      | 4I*<15/2>    | 5f11.7s 5I*<8>                     |             6.36760(25)               |              L7765
    100 | Fm I          |          0 | Fermium       | Fm          | [Rn].5f12.7s2      | 3H<6>        | 5f12.7s 4H<13/2>                   |            [6.500(70)]                |             L16359
    101 | Md I          |          0 | Mendelevium   | Md          | [Rn].5f13.7s2      | 2F*<7/2>     | 5f13.7s 3F*<4>                     |            [6.580(70)]                |             L16359
    102 | No I          |          0 | Nobelium      | No          | [Rn].5f14.7s2      | 1S0          | 5f14.7s 2S<1/2>                    |            [6.650(70)]                |             L16359
    103 | Lr I          |          0 | Lawrencium    | Lr          | [Rn].5f14.7s2.7p   | 2P*<1/2>     | 7s2 1S<0>                          |            (4.90(15))                 |             L11515
    104 | Rf I          |          0 | Rutherfordium | Rf          | [Rn].5f14.6d2.7s2  | 3F<2>        | 6d.7s2 2D<3/2>                     |            (6.01(10))                 |             L11503
    105 | Db I          |          0 | Dubnium       | Db          | [Rn].5f14.6d3.7s2  | 4F<3/2>      | 6d2.7s2 3F<2>                      |            (6.80(50))                 |             L12825
    106 | Sg I          |          0 | Seaborgium    | Sg          | [Rn].5f14.6d4.7s2  | 0            | 6d3.7s2 4F<3/2>                    |            [7.80(50)]                 |              L7830
    107 | Bh I          |          0 | Bohrium       | Bh          | [Rn].5f14.6d5.7s2  | <5/2>        | 6d4.7s2 <0>                        |            [7.70(50)]                 |             L13544
    108 | Hs I          |          0 | Hassium       | Hs          | [Rn].5f14.6d6.7s2  | <4>          | 6d5.7s2 <5/2>                      |            [7.60(50)]                 |             L13544
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
